id,name,classroom,address,mobile,created_at
1,Alabass Mowafaq Bukhamseen,101,Saudi Arabia - Hofuf,000-0000000,2024-09-25
2,Ahmed Hussain Al Essa,101,Saudi Arabia - Hofuf,000-0000001,2024-09-26
3,Ahmed Saad Al Nuaihil,101,Saudi Arabia - Hofuf,000-0000002,2024-09-27
4,Hassan Haidar Alqurain,101,Saudi Arabia - Hofuf,000-0000003,2024-09-28
5,Hassan Ali Alghazal,101,Saudi Arabia - Hofuf,000-0000004,2024-09-29
6,Hassan Mahdi Al Sumaeel,101,Saudi Arabia - Hofuf,000-0000005,2024-09-30
7,Reda Abdulhameed Al Ammar,101,Saudi Arabia - Hofuf,000-0000006,2024-10-01
8,Sajad Bader Al Nuaihil,101,Saudi Arabia - Hofuf,000-0000007,2024-10-02
9,Sajad Shaker Al Dabab,101,Saudi Arabia - Hofuf,000-0000008,2024-10-03
10,Abdullah Maher Al Bader,101,Saudi Arabia - Hofuf,000-0000009,2024-10-04
11,Ali Abdullah Al Hadab,101,Saudi Arabia - Hofuf,000-0000010,2024-10-05
12,Ali Aun Al Mullah,101,Saudi Arabia - Hofuf,000-0000011,2024-10-06
13,Ali Maher Al Radhi,101,Saudi Arabia - Hofuf,000-0000012,2024-10-07
14,Ali Nour Alsayed,101,Saudi Arabia - Hofuf,000-0000013,2024-10-08
15,Ali Yaseen Bu Khamseen,101,Saudi Arabia - Hofuf,000-0000014,2024-10-09
16,Muhammed Jawad Bu Essa,101,Saudi Arabia - Hofuf,000-0000015,2024-10-10
17,Muhammed Riyad Al Omran,101,Saudi Arabia - Hofuf,000-0000016,2024-10-11
18,Muhammed Sami Al Hadab,101,Saudi Arabia - Hofuf,000-0000017,2024-10-12
19,Muhammed Adnan Al Khudair,101,Saudi Arabia - Hofuf,000-0000018,2024-10-13
20,Muhammed Essa Al Mulaify,101,Saudi Arabia - Hofuf,000-0000019,2024-10-14
21,Muhammed Muneer Al Marsouq,101,Saudi Arabia - Hofuf,000-0000020,2024-10-15
22,Menhal Muneer Al Kuwaity,101,Saudi Arabia - Hofuf,000-0000021,2024-10-16
23,Nasser Abdulmajeed Bu Soroor,101,Saudi Arabia - Hofuf,000-0000022,2024-10-17
24,Yousef Hamed Al Ghareeb,101,Saudi Arabia - Hofuf,000-0000023,2024-10-18
25,Ahmed Hassan Bu jubara,103,Saudi Arabia - Hofuf,000-0000023,2024-10-19
26,Ahmed Adnan Al Muhammed Saleh,103,Saudi Arabia - Hofuf,000-0000023,2024-10-20
27,Almuntathar Maher Al Humaidy,103,Saudi Arabia - Hofuf,000-0000023,2024-10-21
28,Almahdi Ahmed Al Shawarib,103,Saudi Arabia - Hofuf,000-0000023,2024-10-22
29,Jamal Deyaa Al Shabeeb,103,Saudi Arabia - Hofuf,000-0000023,2024-10-23
30,Hassan Ahmed Al Essa,103,Saudi Arabia - Hofuf,000-0000023,2024-10-24
31,Hassan Abdulraheem Al Mutamtemi,103,Saudi Arabia - Hofuf,000-0000023,2024-10-25
32,Hassan Ali Al Sahood,103,Saudi Arabia - Hofuf,000-0000023,2024-10-26
33,Hussain Ameen Fawaz,103,Saudi Arabia - Hofuf,000-0000023,2024-10-27
34,Hussain Ali Al Obaid,103,Saudi Arabia - Hofuf,000-0000023,2024-10-28
35,Sajad Muhammed Al Mutawa,103,Saudi Arabia - Hofuf,000-0000023,2024-10-29
36,Abdullilah Mousa Al Qadeeb,103,Saudi Arabia - Hofuf,000-0000023,2024-10-30
37,Abdullaziz Kamal Al Awadh,103,Saudi Arabia - Hofuf,000-0000023,2024-10-31
38,Abdullah Ahmed Al Ahmed,103,Saudi Arabia - Hofuf,000-0000023,2024-11-01
39,Abdullah Essam Al Qattan,103,Saudi Arabia - Hofuf,000-0000023,2024-11-02
40,Ali Ameen Fawaz,103,Saudi Arabia - Hofuf,000-0000023,2024-11-03
41,Ali Zuhair Al Salem,103,Saudi Arabia - Hofuf,000-0000023,2024-11-04
42,Muhammed Anwar Al Hudar,103,Saudi Arabia - Hofuf,000-0000023,2024-11-05
43,Muhammed Hassan Al Mukaina,103,Saudi Arabia - Hofuf,000-0000023,2024-11-06
44,Muhammed Hamad Al Hassan,103,Saudi Arabia - Hofuf,000-0000023,2024-11-07
45,Muhammed Raed Al Muhaisen,103,Saudi Arabia - Hofuf,000-0000023,2024-11-08
46,Muhammed Adel Al Omar,103,Saudi Arabia - Hofuf,000-0000023,2024-11-09
47,Muhammed Abdullah Al Herz,103,Saudi Arabia - Hofuf,000-0000023,2024-11-10
48,Mahdi Yousef Al Ibraheem,103,Saudi Arabia - Hofuf,000-0000023,2024-11-11
49,Ahmed Ali Alghazal,104,Saudi Arabia - Hofuf,000-0000023,2024-11-12
50,Ahmed Alaa Abu Qamar,104,Saudi Arabia - Hofuf,000-0000023,2024-11-13
51,Alqasem Ahmed Al Muhamed Ali,104,Saudi Arabia - Hofuf,000-0000023,2024-11-14
52,Ahmed Adel Al Jaber,104,Saudi Arabia - Hofuf,000-0000023,2024-11-15
53,Ahmed Muhammed Al Khalifa,104,Saudi Arabia - Hofuf,000-0000023,2024-11-16
54,Hassan Muhammed Al Hussain,104,Saudi Arabia - Hofuf,000-0000023,2024-11-17
55,Hussain Ali Al Salem,104,Saudi Arabia - Hofuf,000-0000023,2024-11-18
56,Hamad Hussain Al Bathar,104,Saudi Arabia - Hofuf,000-0000023,2024-11-19
57,Reda Zakaria Al Hadad,104,Saudi Arabia - Hofuf,000-0000023,2024-11-20
58,Reda Muhammed Al Ghanem,104,Saudi Arabia - Hofuf,000-0000023,2024-11-21
59,Abbass Ali Al Khars,104,Saudi Arabia - Hofuf,000-0000023,2024-11-22
60,Abdullah Salah Al Sumaeel,104,Saudi Arabia - Hofuf,000-0000023,2024-11-23
61,Abdullah Muhammed Al Ahmed,104,Saudi Arabia - Hofuf,000-0000023,2024-11-24
62,Abdullah Muhammed Al Saffani,104,Saudi Arabia - Hofuf,000-0000023,2024-11-25
63,Ali Khaled Al Ghanem,104,Saudi Arabia - Hofuf,000-0000023,2024-11-26
64,Ali Adnan Al Jassem,104,Saudi Arabia - Hofuf,000-0000023,2024-11-27
65,Ali Wajdi Al Rashed,104,Saudi Arabia - Hofuf,000-0000023,2024-11-28
66,Ali Yousef Al Haj Muhammed,104,Saudi Arabia - Hofuf,000-0000023,2024-11-29
67,Fahad Ali Al Sulaih,104,Saudi Arabia - Hofuf,000-0000023,2024-11-30
68,Muhammed Hassan Al Baghshi,104,Saudi Arabia - Hofuf,000-0000023,2024-12-01
69,Muhammed Abdullaziz Al Ghadeer,104,Saudi Arabia - Hofuf,000-0000023,2024-12-02
70,Muhammed Abdulmunem Al Herz,104,Saudi Arabia - Hofuf,000-0000023,2024-12-03
71,Muhammed Qasem Al Shubeeb,104,Saudi Arabia - Hofuf,000-0000023,2024-12-04
72,Murtada Taleb Al Khunain,104,Saudi Arabia - Hofuf,000-0000023,2024-12-05
73,Mahdi Fuaad Al Bedi,104,Saudi Arabia - Hofuf,000-0000023,2024-12-06
74,Maytham Habeeb Al Duhneen,104,Saudi Arabia - Hofuf,000-0000023,2024-12-07
75,Noah Nasser Al Najjar,104,Saudi Arabia - Hofuf,000-0000023,2024-12-08
76,Ibraheem Hussam Al Mullah,104,Saudi Arabia - Hofuf,000-0000023,2024-12-09
77,Bader Baqer Al Hajeri,105,Saudi Arabia - Hofuf,000-0000023,2024-12-10
78,Turkey Bader Al Qattan,105,Saudi Arabia - Hofuf,000-0000023,2024-12-11
79,Hassan Salah Al Mahdi,105,Saudi Arabia - Hofuf,000-0000023,2024-12-12
80,Hussain Raed Al Marzouq,105,Saudi Arabia - Hofuf,000-0000023,2024-12-13
81,Khamees Shaker Al Muhamedain,105,Saudi Arabia - Hofuf,000-0000023,2024-12-14
82,Saleh Jamal Al Jassem,105,Saudi Arabia - Hofuf,000-0000023,2024-12-15
83,Abbass Muhammed Bu Hassan,105,Saudi Arabia - Hofuf,000-0000023,2024-12-16
84,Abbass Yousef Al Bader,105,Saudi Arabia - Hofuf,000-0000023,2024-12-17
85,Abdullilah Zuhair Al Ghazal,105,Saudi Arabia - Hofuf,000-0000023,2024-12-18
86,Abdullali Yasser Bujbara,105,Saudi Arabia - Hofuf,000-0000023,2024-12-19
87,Abdullah Ali Al Muosa,105,Saudi Arabia - Hofuf,000-0000023,2024-12-20
88,Abdullah Fadel Al Sumaeel,105,Saudi Arabia - Hofuf,000-0000023,2024-12-21
89,Ali Hussain Al Dalwi,105,Saudi Arabia - Hofuf,000-0000023,2024-12-22
90,Ali Zaki Al Herz,105,Saudi Arabia - Hofuf,000-0000023,2024-12-23
91,Ali Sabri Hamadain,105,Saudi Arabia - Hofuf,000-0000023,2024-12-24
92,Ali Hani Al Mukaina,105,Saudi Arabia - Hofuf,000-0000023,2024-12-25
93,Muhammed Reda Al Jassem,105,Saudi Arabia - Hofuf,000-0000023,2024-12-26
94,Muhammed Abbass Al Haj Muhammed,105,Saudi Arabia - Hofuf,000-0000023,2024-12-27
95,Muhammed Abdulwahab Al Abbass,105,Saudi Arabia - Hofuf,000-0000023,2024-12-28
96,Muhammed Majed Al Tammar,105,Saudi Arabia - Hofuf,000-0000023,2024-12-29
97,Nawaf Zakaria Al Qattan,105,Saudi Arabia - Hofuf,000-0000023,2024-12-30
98,Hassan Abdullilah Al Salem,105,Saudi Arabia - Hofuf,000-0000023,2024-12-31
99,Hussain Ali Al Abdullsalam,105,Saudi Arabia - Hofuf,000-0000023,2025-01-01
100,Mahdi Ibraheem Bu Mejdad,105,Saudi Arabia - Hofuf,000-0000023,2025-01-02
101,Ali Mustafa Al Mousa,105,Saudi Arabia - Hofuf,000-0000023,2025-01-03
102,Hassan Yousef Al Hilal,105,Saudi Arabia - Hofuf,000-0000023,2025-01-04
